epoch,train_loss,train_loss_signal,train_loss_rhythm,val_loss,lr
1,0.29131467619846607,0.29121044722610506,0.0020845809831998535,0.1272419656853418,0.0002
2,0.12588307681525576,0.12587090987583688,0.0002433345380142845,0.11428384341903634,0.00019980267284282717
3,0.11061917706553279,0.11061444201603018,9.470057064328134e-05,0.10322008996799185,0.0001992114701314478
4,0.10130503669638058,0.10130270831286907,4.656955956432222e-05,0.09400001480369954,0.00019822872507286888
5,0.09552716465088829,0.09552585496727763,2.619671897954159e-05,0.09327519775645153,0.0001968583161128631
6,0.09308186145178203,0.09308105951239323,1.6038980682988668e-05,0.08954756918388444,0.00019510565162951537
7,0.09077629669216172,0.09077577362286633,1.046469879086011e-05,0.0865065397040264,0.00019297764858882514
8,0.08842818394046405,0.0884278320161433,7.042058112754854e-06,0.08743206945222777,0.00019048270524660196
9,0.0873576475114658,0.08735740204052679,4.914157270361792e-06,0.08524108023659603,0.00018763066800438633
10,0.08632756207009841,0.08632738741821257,3.4903933636024736e-06,0.0828966698735147,0.0001844327925502015
11,0.08514496702058562,0.0851448408231653,2.525121164094814e-06,0.0849899747283072,0.0001809016994374947
12,0.08428311472565964,0.08428302244122686,1.8484742701400984e-06,0.08299014274332975,0.0001770513242775789
13,0.08346665017306805,0.08346658238563044,1.350293668706556e-06,0.08203811238746385,0.00017289686274214112
14,0.08304493194767114,0.08304488186178537,1.0003852756018864e-06,0.081405595347688,0.00016845471059286885
15,0.0817953594157408,0.08179532173892547,7.523092298517189e-07,0.08324994670378195,0.00016374239897486894
16,0.08223339058458805,0.08223336173285697,5.793532993485659e-07,0.08270500932593604,0.00015877852522924732
17,0.08079727606783653,0.08079725373536348,4.4822612907104295e-07,0.08146389312035329,0.00015358267949789963
18,0.08003131878273241,0.08003130105548892,3.5197645324313366e-07,0.08193515321692905,0.0001481753674101715
19,0.07953205448414745,0.07953204076480248,2.7409620964955014e-07,0.0832541030202363,0.00014257792915650723
