epoch,train_loss,val_loss,lr
1,0.36916073153798395,0.15517145824251752,0.0001
2,0.1294668353520907,0.09647121664249536,9.990133642141359e-05
3,0.08725823807315185,0.0773526703882398,9.96057350657239e-05
4,0.07273466568440198,0.07523195030675693,9.911436253643444e-05
5,0.06635702590529735,0.06579174383571654,9.842915805643155e-05
6,0.05527536856512038,0.052799202050223495,9.755282581475769e-05
7,0.0503745599828947,0.049733179452067074,9.648882429441257e-05
8,0.044748687758468665,0.0456470510724819,9.524135262330098e-05
9,0.04168836834768836,0.04892152626857613,9.381533400219317e-05
10,0.03877965934180583,0.0453822729459992,9.221639627510075e-05
11,0.03672070783168937,0.04268156519075009,9.045084971874735e-05
12,0.036931110995535095,0.04304675343023105,8.852566213878945e-05
13,0.03256145023042336,0.04629322282518401,8.644843137107056e-05
14,0.031836872820097666,0.04399693829966991,8.422735529643442e-05
15,0.032898572522502105,0.04387343666078805,8.187119948743447e-05
16,0.03213779289060487,0.04688855492030129,7.938926261462366e-05
